host,mac_address,interface,mac_type,vlan,vendor
BE-ASW-29-35-54,0100.0ccc.cccc,CPU,Static,All,CDP/VTP/DTP/PAgP/UDLD
BE-ASW-29-35-54,0100.0ccc.cccd,CPU,Static,All,PVST+
BE-ASW-29-35-54,0180.c200.0000,CPU,Static,All,Spanning-tree-(for-bridges)
BE-ASW-29-35-54,0180.c200.0001,CPU,Static,All,MAC-specific-ctrl-proto-01
BE-ASW-29-35-54,0180.c200.0002,CPU,Static,All,Slow-Protocols
BE-ASW-29-35-54,0180.c200.0003,CPU,Static,All,Nearest-non-TPMR-bridge
BE-ASW-29-35-54,0180.c200.0004,CPU,Static,All,MAC-specific-ctrl-proto-04
BE-ASW-29-35-54,0180.c200.0005,CPU,Static,All,Reserved-future-std-05
BE-ASW-29-35-54,0180.c200.0006,CPU,Static,All,Reserved-future-std-06
BE-ASW-29-35-54,0180.c200.0007,CPU,Static,All,MEF-Forum-ELMI-proto
BE-ASW-29-35-54,0180.c200.0008,CPU,Static,All,Provider-Bridge
BE-ASW-29-35-54,0180.c200.0009,CPU,Static,All,Reserved-future-std-09
BE-ASW-29-35-54,0180.c200.000a,CPU,Static,All,Reserved-future-std-0a
BE-ASW-29-35-54,0180.c200.000b,CPU,Static,All,EDE-SS-PEP
BE-ASW-29-35-54,0180.c200.000c,CPU,Static,All,Reserved-future-std-0c
BE-ASW-29-35-54,0180.c200.000d,CPU,Static,All,Provider-Bridge-MVRP
BE-ASW-29-35-54,0180.c200.000e,CPU,Static,All,LLDP_Multicast
BE-ASW-29-35-54,0180.c200.000f,CPU,Static,All,Reserved-future-std-0f
BE-ASW-29-35-54,0180.c200.0010,CPU,Static,All,Bridge-Management
BE-ASW-29-35-54,0180.c200.0021,CPU,Static,All,N/A
BE-ASW-29-35-54,ffff.ffff.ffff,CPU,Static,All,Broadcast
BE-ASW-29-35-54,0000.0c07.ac02,Gi1/1/2,Dynamic,20,All-HSRP-routers
BE-ASW-29-35-54,00b1.e3fb.f5b4,Gi1/1/2,Dynamic,20,Cisco
BE-ASW-29-35-54,44ae.2531.fa81,Gi1/1/2,Dynamic,20,Cisco
BE-ASW-29-35-54,4c42.1eac.9556,Vl20,Static,20,N/A
BE-ASW-29-35-54,5cb1.2e5a.d319,Gi1/1/2,Dynamic,20,N/A
BE-ASW-29-35-54,c4c6.0341.84a4,Gi1/1/2,Dynamic,20,Cisco
BE-ASW-29-35-54,c8be.35cb.d400,Gi1/1/2,Dynamic,20,N/A
BE-ASW-29-35-54,0000.0c07.ac06,Gi1/1/2,Dynamic,25,All-HSRP-routers
BE-ASW-29-35-54,00b1.e3fb.f5b4,Gi1/1/2,Dynamic,25,Cisco
BE-ASW-29-35-54,0c38.3e2c.ba81,Gi1/1/2,Dynamic,25,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.ba90,Gi1/1/2,Dynamic,25,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.bd5e,Gi1/1/2,Dynamic,25,FanvilTe
BE-ASW-29-35-54,44ae.2531.fa81,Gi1/1/2,Dynamic,25,Cisco
BE-ASW-29-35-54,4c42.1eac.9571,Vl25,Static,25,N/A
BE-ASW-29-35-54,5cb1.2e5a.d319,Gi1/1/2,Dynamic,25,N/A
BE-ASW-29-35-54,acdb.da62.fe04,Gi1/1/2,Dynamic,25,Shenzhen
BE-ASW-29-35-54,acdb.da62.ff3f,Gi1/1/2,Dynamic,25,Shenzhen
BE-ASW-29-35-54,acdb.da62.ff83,Gi1/1/2,Dynamic,25,Shenzhen
BE-ASW-29-35-54,acdb.da63.0021,Gi1/1/2,Dynamic,25,Shenzhen
BE-ASW-29-35-54,c44d.8454.8384,Gi1/1/2,Dynamic,25,Cisco
BE-ASW-29-35-54,0000.0c07.ac03,Gi1/1/2,Dynamic,21,All-HSRP-routers
BE-ASW-29-35-54,00b1.e3fb.f5b4,Gi1/1/2,Dynamic,21,Cisco
BE-ASW-29-35-54,0c38.3e2c.b3f6,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b5e7,Gi1/0/44,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b5f1,Gi1/0/31,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b615,Gi1/0/27,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b618,Gi1/0/29,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b6ad,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b6f9,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b700,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b701,Gi1/0/33,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b703,Gi1/0/35,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b714,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b71d,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b737,Gi1/0/34,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b73d,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b74a,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b74c,Gi1/0/32,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b7a5,Gi1/0/4,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b828,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b868,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b8ce,Gi1/0/3,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b8d0,Gi1/0/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b8d9,Gi1/0/6,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b929,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b931,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b93a,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b952,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b96b,Gi1/0/10,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b96c,Gi1/0/25,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b96d,Gi1/0/12,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b970,Gi1/0/43,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b976,Gi1/0/45,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b989,Gi1/0/23,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b98a,Gi1/0/9,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b991,Gi1/0/11,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b99c,Gi1/0/7,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b99d,Gi1/0/8,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b99f,Gi1/0/26,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.b9a2,Gi1/0/13,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.ba41,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.baf4,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.baf9,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.bafa,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.bb21,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.bbb3,Gi1/1/2,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.bc37,Gi1/0/37,Dynamic,21,FanvilTe
BE-ASW-29-35-54,0c38.3e2c.bc60,Gi1/1/2,Dynamic,21,FanvilTe
