File,Hostname,Platform,Software Version,Software Image
show_version.txt,BE-ASW-29-35-54,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-37,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-46,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-58,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-44,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-39,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-35,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-56,C9300L-48P-4G,17.3.5,CAT9K_IOSXE
show_version.txt,BE-Haren-ASW-29-35-50,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-CSW-29-35-33,WS-C3850-24S,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-68,C9300L-24P-4G,17.3.6,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-52,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-40,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-Haren-ASW-29-35-48,C9300L-24P-4G,17.3.6,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-66,C9300L-24P-4G,17.3.5,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-42,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-36,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-55,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-62,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-47,C9300L-24P-4G,17.3.6,CAT9K_IOSXE
show_version.txt,BE-CSW-29-35-32,WS-C3850-24S,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-38,WS-C3650-24PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-45,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-57,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-53,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-41,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-65,C9300L-24P-4G,17.3.5,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-43,WS-C3650-48PS,16.9.8,CAT3K_CAA-UNIVERSALK9-M
show_version.txt,BE-ASW-29-35-51,C9300L-48P-4G,17.6.4,CAT9K_IOSXE
show_version.txt,BE-ASW-29-35-67,C9300L-24P-4G,17.3.5,CAT9K_IOSXE
show_version.txt,BE-Haren-ASW-29-35-49,C9300L-24P-4G,17.3.6,CAT9K_IOSXE
